 56  64  23
 69  77  36
 88  95  59
 96 103  67
 59  66  32
 53  60  26
 51  57  28
 32  38   9
 38  44  17
 41  47  20
 52  57  33
 77  82  58
 85  90  68
 79  84  62
 69  74  50
 69  74  50
 70  75  53
 67  72  50
 58  65  47
 50  57  39
 41  52  39
 31  42  29
 31  43  47
 31  43  47
 27  47  61
 71  91 105
 81 106 128
 96 121 143
127 155 180
 88 116 141
 55  83 106
 51  79 102
 78 103 116
116 141 154
145 160 163
130 145 148
 99 113 109
 84  98  94
 90 101  90
 88  99  88
 77  90  76
 49  62  48
 31  46  32
 13  28  14
 27  45  30
 15  33  18
 19  36  28
 46  63  55
 63  77  73
 59  73  69
 73  85  81
 67  79  75
 24  36  32
 11  23  19
  1  13   9
  0   2   0
 12  24  17
 21  33  26
  0   9   0
  0  13   1
 50  65  51
 75  90  76
 52  67  51
 28  43  27
 35  51  32
 50  66  47
 61  77  56
 37  53  32
  0  17   0
  8  25   1
 21  38  14
 35  52  28
 52  69  43
 47  64  38
 30  45  21
 47  62  38
 73  87  66
 90 104  83
 99 118 109
 85 104  95
 49  74  85
 67  92 103
121 150 179
155 184 213
155 186 219
160 191 224
135 164 193
 58  87 116
 25  51  70
 72  98 117
103 126 135
126 149 158
 73  96 103
 43  66  73
 51  73  77
 64  86  90
 41  63  77
 35  57  71
 31  59  84
 43  71  96
 51  84 119
 67 100 135
100 142 188
122 164 210
 97 149 195
112 164 210
134 188 234
146 200 246
152 204 248
148 200 244
143 187 232
123 167 212
113 151 191
119 157 197
123 156 189
107 140 173
 84 112 144
 44  72 104
 57  85 117
108 136 168
147 170 204
150 173 207
160 183 221
154 177 215
 95 124 167
 46  75 118
 58  94 137
104 140 183
146 187 230
